Author(S),Original Language,Approximate Sales,First Published,Book Title
Roald Dahl,English,20000000,1964,Charlie and the Chocolate Factory
Desmond Morris,English,20000000,1968,The Naked Ape
Natsume Sōseki,Japanese,20000000,1914,Kokoro (こゝろ)
Delia Owens,English,18000000,2018,Where the Crawdads Sing
Susanna Tamaro,Italian,18000000,1994,Follow Your Heart (Va' dove ti porta il cuore)
Roald Dahl,English,17000000,1988,Matilda
Markus Zusak,English,16000000,2005,The Book Thief
Nicholas Evans,English,16000000,1995,The Horse Whisperer
Margaret Wise Brown,English,16000000,1947,Goodnight Moon
Michael Ende,German,16000000,1979,The Neverending Story (Die unendliche Geschichte)
Anthony Doerr,English,15300000,2014,All the Light We Cannot See
E. L. James,English,15200000,2011,Fifty Shades of Grey
S. E. Hinton,English,15000000,1967,The Outsiders
Sam McBratney,English,15000000,1994,Guess How Much I Love You
James Clavell,English,15000000,1975,Shōgun
Janette Sebring Lowrey,English,15000000,1942,The Poky Little Puppy
Ken Follett,English,15000000,1989,The Pillars of the Earth
Patrick Süskind,German,15000000,1985,Perfume (Das Parfum)
John Steinbeck,English,15000000,1939,The Grapes of Wrath
Carlos Ruiz Zafón,Spanish,15000000,2001,The Shadow of the Wind (La sombra del viento)
Jhumpa Lahiri,English,15000000,2000,Interpreter of Maladies
Michelle Obama,English,14000000,2018,Becoming
Douglas Adams,English,14000000,1979,The Hitchhiker's Guide to the Galaxy
Mitch Albom,English,14000000,1997,Tuesdays with Morrie
Erskine Caldwell,English,14000000,1933,God's Little Acre
Madeleine L'Engle,English,14000000,1962,A Wrinkle in Time
Nelson Mandela,English,14000000,1994,Long Walk to Freedom
Ernest Hemingway,English,13000000,1952,The Old Man and the Sea
Raymond Moody,English,13000000,1975,Life After Life
Michael Ende,German,13000000,1973,Momo
Grace Metalious,English,12100000,1956,Peyton Place
Lois Lowry,English,12000000,1993,The Giver
Jojo Moyes,English,12000000,2012,Me Before You
Haruki Murakami,Japanese,12000000,1987,Norwegian Wood (ノルウェイの森)
Albert Camus,French,12000000,1947,The Plague (La Peste)
Osamu Dazai,Japanese,12000000,1948,No Longer Human (人間失格)
Viktor Frankl,German,12000000,1946,Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager)
Mark Manson,English,12000000,2016,The Subtle Art of Not Giving a Fuck
Dante Alighieri,Italian,11000000,1304,The Divine Comedy (La Divina Commedia)
Lynley Dodd,English,11000000,1983,Hairy Maclary from Donaldson's Dairy
Kahlil Gibran,English,11000000,1923,The Prophet
John Boyne,English,11000000,2006,The Boy in the Striped Pyjamas
William Peter Blatty,English,11000000,1971,The Exorcist
Julia Donaldson,English,10500000,1999,The Gruffalo
E. L. James,English,10400000,2012,Fifty Shades Darker
Erskine Caldwell,English,10000000,1932,Tobacco Road
Astrid Lindgren,Swedish,10000000,1981,"Ronia, the Robber's Daughter"
Dr. Seuss,English,10500000,1957,The Cat in the Hat
Andrew Morton,English,10000000,1992,Diana: Her True Story
Kathryn Stockett,English,10000000,2009,The Help
Joseph Heller,English,10000000,1961,Catch-22
Albert Camus,French,10000000,1942,The Stranger (L'Étranger)
Ken Follett,English,10000000,1978,Eye of the Needle
Alice Sebold,English,10000000,2002,The Lovely Bones
Jung Chang,English,10000000,1992,Wild Swans
